movieId,imdbId,tmdbId
11,0112346,9087
12,0112896,12110
13,0112453,21032
14,0113987,10858
22,0112722,1710
24,0114168,12665
38,0113442,33689
63,0116126,10607
77,0113973,124626
85,0112365,8447
98,0111173,45549
105,0112579,688
107,0117110,10874
114,0113774,71754
120,0117427,55731
121,0106473,32119
122,0103859,11066
134,0114500,124636
141,0115685,11000
146,0112342,30765
153,0112462,414
155,0112495,1873
161,0112740,8963
180,0113749,2293
187,0114095,36196
194,0114478,10149
197,0114534,139408
238,0113028,27985
243,0113199,47867
268,0110365,47504
272,0110428,11318
274,0113755,40490
275,0110538,24070
278,0113808,17402
280,0113870,8438
329,0111280,193
393,0111301,11667
414,0109067,46094
424,0109305,19819
453,0106941,9024
462,0109920,41006
550,0111418,10635
568,0106408,14587
581,0112651,32562
585,0112572,9066
597,0100405,114
601,0111752,59146
602,0109934,124472
603,0112606,30528
604,0115978,
607,0106537,261246
629,0114305,166901
640,0116095,10988
641,0111543,11479
664,0116269,47502
671,0117128,3065
672,0114616,318177
680,0058898,8072
745,0112691,532
752,0105737,215107
786,0116213,9268
788,0117218,9327
807,0114266,77056
808,0115493,36344
809,0116320,18550
812,0109356,172198
854,0051980,116690
857,0042054,100914
862,0116985,88224
954,0031679,3083
955,0029947,900
1422,0119731,9415
1572,0057345,266
1597,0118883,8834
1891,0120401,40961
1892,0120787,1965
1894,0120828,6068
1900,0118849,21334
2024,0102757,1411
2164,0094077,28070
2501,0132477,13466
2502,0151804,1542
3049,0061789,29048
4327,0054047,966
5503,0265930,12308
7443,0308488,126117
8587,0230512,61487
